areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
region,South East,E12000008,2020-08-31,0,37927
region,South East,E12000008,2020-08-30,81,37927
region,South East,E12000008,2020-08-29,90,37846
region,South East,E12000008,2020-08-28,88,37756
region,South East,E12000008,2020-08-27,113,37668
region,South East,E12000008,2020-08-26,110,37555
region,South East,E12000008,2020-08-25,84,37445
region,South East,E12000008,2020-08-24,93,37361
region,South East,E12000008,2020-08-23,82,37268
region,South East,E12000008,2020-08-22,78,37186
region,South East,E12000008,2020-08-21,110,37108
region,South East,E12000008,2020-08-20,129,36998
region,South East,E12000008,2020-08-19,115,36869
region,South East,E12000008,2020-08-18,78,36754
region,South East,E12000008,2020-08-17,109,36676
region,South East,E12000008,2020-08-16,36,36567
region,South East,E12000008,2020-08-15,45,36531
region,South East,E12000008,2020-08-14,95,36486
region,South East,E12000008,2020-08-13,76,36391
region,South East,E12000008,2020-08-12,83,36315
region,South East,E12000008,2020-08-11,76,36232
region,South East,E12000008,2020-08-10,113,36156
region,South East,E12000008,2020-08-09,29,36043
region,South East,E12000008,2020-08-08,31,36014
region,South East,E12000008,2020-08-07,53,35983
region,South East,E12000008,2020-08-06,61,35930
region,South East,E12000008,2020-08-05,65,35869
region,South East,E12000008,2020-08-04,66,35804
region,South East,E12000008,2020-08-03,75,35738
region,South East,E12000008,2020-08-02,21,35663
region,South East,E12000008,2020-08-01,30,35642
region,South East,E12000008,2020-07-31,41,35612
region,South East,E12000008,2020-07-30,64,35571
region,South East,E12000008,2020-07-29,79,35507
region,South East,E12000008,2020-07-28,65,35428
region,South East,E12000008,2020-07-27,85,35363
region,South East,E12000008,2020-07-26,37,35278
region,South East,E12000008,2020-07-25,47,35241
region,South East,E12000008,2020-07-24,65,35194
region,South East,E12000008,2020-07-23,76,35129
region,South East,E12000008,2020-07-22,76,35053
region,South East,E12000008,2020-07-21,77,34977
region,South East,E12000008,2020-07-20,87,34900
region,South East,E12000008,2020-07-19,46,34813
region,South East,E12000008,2020-07-18,54,34767
region,South East,E12000008,2020-07-17,49,34713
region,South East,E12000008,2020-07-16,63,34664
region,South East,E12000008,2020-07-15,63,34601
region,South East,E12000008,2020-07-14,58,34538
