date,IRN_date_index,IRN_d_l_cum_cases
2020-02-29,1,0.31143615845988837
2020-03-01,2,0.7243455514158059
2020-03-05,3,0.8704314221354563
2020-03-06,4,0.4554871485504748
2020-03-07,5,0.2914513946680728
2020-03-08,6,0.15156753341188
2020-03-09,7,0.1130515234427012
2020-03-10,8,0.15192069302638878
2020-03-11,9,0.13472133772997807
2020-03-12,10,0.13087764040572125
2020-03-13,11,0.13723330760763197
2020-03-14,12,0.127331853012846
2020-03-15,13,0.10065470725124293
2020-03-16,14,0.08010363016187405
2020-03-17,15,0.08260932454790826
2020-03-18,16,0.0771754076838036
2020-03-19,17,0.06313948075224474
2020-03-20,18,0.06986214355561238
2020-03-21,19,0.05135329695131574
2020-03-22,20,0.05189939111738262
