adm0,policy,beta,se
ITA,"Social distance, business closure - original",0.098,0.488
ITA,School closure - original,-0.282,0.303
ITA,Travel ban - original,-0.338,0.405
ITA,Quarantine positive cases - original,-0.048,0.202
ITA,Home isolation - original,-0.213,0.206
ITA,combined policy - original,-0.783,0.332
ITA,"Social distance, business closure",0.265,0.276
ITA,School closure,-0.622,0.415
ITA,Travel ban,-0.171,0.206
ITA,Quarantine positive cases,-0.476,0.19
ITA,Home isolation,0.323,0.24
ITA,combined policy,-0.681,0.388
ITA,no_policy_rate,1.355,0.267
ITA,SWE comparator,-0.245,0.476
ITA,KOR comparator,-0.362,0.404
