date,KOR_date_index,KOR_d_l_cum_cases
2020-02-19,1,0.03922071315328157
2020-02-20,2,0.8527773261518292
2020-02-21,3,1.4303896809851144
2020-02-22,4,0.3613697882429401
2020-02-23,5,0.48592807214426426
2020-02-24,6,0.309706648569783
2020-02-25,7,0.15714074449451498
2020-02-26,8,0.26422683940770764
2020-02-27,9,0.2895008059024926
2020-02-28,10,0.25427122097335086
2020-02-29,11,0.33257280987028093
2020-03-01,12,0.1924308333152709
2020-03-02,13,0.15466656309035187
2020-03-03,14,0.14262465315548312
2020-03-04,15,0.10138979447103935
2020-03-05,16,0.08213502847583065
2020-03-06,17,0.07494204147888794
2020-03-07,18,0.06837638142161317
2020-03-08,19,0.04880434062376082
2020-03-09,20,0.032497106874284754
2020-03-10,21,0.020375603033016887
2020-03-11,22,0.029544442031337326
2020-03-12,23,0.014772848677530703
2020-03-13,24,0.013035328346848729
2020-03-14,25,0.01136232398257242
2020-03-15,26,0.013590384349267737
2020-03-16,27,0.008508590699447538
2020-03-17,28,0.013416471522223361
2020-03-18,29,0.008685217442392812
2020-03-19,30,0.018681012052814694
2020-03-20,31,0.010436916785732109
2020-03-21,32,0.01585589609927318
2020-03-22,33,0.00982640447891825
2020-03-23,34,0.006008066590457162
2020-03-24,35,0.005747466094746301
2020-03-25,36,0.007054505489225704
2020-03-26,37,0.008665758040134364
2020-03-27,38,0.008700974547442897
2020-03-28,39,0.014263402572806783
2020-03-29,40,0.009040096003289477
2020-03-30,41,0.004489585307032584
2020-03-31,42,0.015976639889984767
2020-04-01,43,0.009298505068210616
2020-04-02,44,0.007253166188185389
2020-04-03,45,0.006585741028718672
2020-04-04,46,0.008883501520864812
2020-04-05,47,0.0057777262748963665
2020-04-06,48,0.0030275530240366777
