fecha,cod_ine,CCAA,total,date,cum_confirmed_cases,adm1_name,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,transit_suspension,home_isolation,travel_ban_local,travel_ban_intl
2020-02-27,01,Andalucía,1,2020-02-27,1,Andalucía,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
2020-02-28,01,Andalucía,6,2020-02-28,6,Andalucía,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
2020-02-29,01,Andalucía,8,2020-02-29,8,Andalucía,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
2020-03-01,01,Andalucía,12,2020-03-01,12,Andalucía,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
2020-03-02,01,Andalucía,12,2020-03-02,12,Andalucía,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
2020-03-03,01,Andalucía,13,2020-03-03,13,Andalucía,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
2020-03-04,01,Andalucía,13,2020-03-04,13,Andalucía,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
2020-03-05,01,Andalucía,12,2020-03-05,12,Andalucía,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
2020-03-06,01,Andalucía,21,2020-03-06,21,Andalucía,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
2020-03-07,01,Andalucía,27,2020-03-07,27,Andalucía,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
2020-03-08,01,Andalucía,35,2020-03-08,35,Andalucía,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0
2020-03-09,01,Andalucía,54,2020-03-09,54,Andalucía,3,1,0,0,0,0,1,0,0,2,2,1,1,1,1,0,0,0,0,1,0
2020-03-10,01,Andalucía,71,2020-03-10,71,Andalucía,3,1,2,1,0,0,1,3,0,2,2,1,1,1,1,1,1,0,0,1,1
