areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,adm1_name,cum_confirmed_cases,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,transit_suspension,home_isolation,travel_ban_local
region,East of England,E12000006,2020-08-31,0,26789,East of England,26789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
region,East of England,E12000006,2020-08-30,67,26789,East of England,26789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
region,East of England,E12000006,2020-08-29,72,26722,East of England,26722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
region,East of England,E12000006,2020-08-28,79,26650,East of England,26650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
region,East of England,E12000006,2020-08-27,110,26571,East of England,26571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
region,East of England,E12000006,2020-08-26,87,26461,East of England,26461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
region,East of England,E12000006,2020-08-25,99,26374,East of England,26374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
region,East of England,E12000006,2020-08-24,100,26275,East of England,26275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
region,East of England,E12000006,2020-08-23,52,26175,East of England,26175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
region,East of England,E12000006,2020-08-22,48,26123,East of England,26123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
region,East of England,E12000006,2020-08-21,63,26075,East of England,26075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
region,East of England,E12000006,2020-08-20,81,26012,East of England,26012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
region,East of England,E12000006,2020-08-19,63,25931,East of England,25931,.,.,.,.,.,.,.,.,.,.,.,.,.,NA,NA,NA,NA,NA,NA,NA
region,East of England,E12000006,2020-08-18,59,25868,East of England,25868,.,.,.,.,.,.,.,.,.,.,.,.,.,NA,NA,NA,NA,NA,NA,NA
region,East of England,E12000006,2020-08-17,62,25809,East of England,25809,.,.,.,.,.,.,.,.,.,.,.,.,.,NA,NA,NA,NA,NA,NA,NA
region,East of England,E12000006,2020-08-16,27,25747,East of England,25747,.,.,.,.,.,.,.,.,.,.,.,.,.,NA,NA,NA,NA,NA,NA,NA
region,East of England,E12000006,2020-08-15,30,25720,East of England,25720,.,.,.,.,.,.,.,.,.,.,.,.,.,NA,NA,NA,NA,NA,NA,NA
region,East of England,E12000006,2020-08-14,68,25690,East of England,25690,.,.,.,.,.,.,.,.,.,.,.,.,.,NA,NA,NA,NA,NA,NA,NA
region,East of England,E12000006,2020-08-13,61,25622,East of England,25622,3,2,2,3,1,0,2,2,2,2,2,2,2,1,1,1,1,1,0,1
region,East of England,E12000006,2020-08-12,65,25561,East of England,25561,3,2,2,3,1,0,2,2,2,2,2,2,2,1,1,1,1,1,0,1
region,East of England,E12000006,2020-08-11,44,25496,East of England,25496,3,2,2,3,1,0,2,2,2,2,2,2,2,1,1,1,1,1,0,1
region,East of England,E12000006,2020-08-10,67,25452,East of England,25452,3,2,2,3,1,0,2,2,2,2,2,2,2,1,1,1,1,1,0,1
region,East of England,E12000006,2020-08-09,23,25385,East of England,25385,3,2,2,3,1,0,2,2,2,2,2,2,2,1,1,1,1,1,0,1
region,East of England,E12000006,2020-08-08,44,25362,East of England,25362,3,2,2,3,1,0,2,2,2,2,2,2,2,1,1,1,1,1,0,1
region,East of England,E12000006,2020-08-07,70,25318,East of England,25318,3,2,2,3,1,0,2,2,2,2,2,2,2,1,1,1,1,1,0,1
region,East of England,E12000006,2020-08-06,44,25248,East of England,25248,3,2,2,3,1,0,2,2,2,2,2,2,2,1,1,1,1,1,0,1
region,East of England,E12000006,2020-08-05,53,25204,East of England,25204,3,2,2,3,1,0,2,2,2,2,2,2,2,1,1,1,1,1,0,1
region,East of England,E12000006,2020-08-04,55,25151,East of England,25151,3,2,2,3,1,0,2,2,2,2,2,2,2,1,1,1,1,1,0,1
region,East of England,E12000006,2020-08-03,68,25096,East of England,25096,3,2,2,4,1,0,2,2,2,2,2,2,2,1,1,1,1,1,0,1
region,East of England,E12000006,2020-08-02,36,25028,East of England,25028,3,2,2,4,1,0,2,2,2,2,2,2,2,1,1,1,1,1,0,1
region,East of England,E12000006,2020-08-01,22,24992,East of England,24992,3,2,2,4,1,0,2,2,2,2,2,2,2,1,1,1,1,1,0,1
region,East of England,E12000006,2020-07-31,31,24970,East of England,24970,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-30,52,24939,East of England,24939,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-29,66,24887,East of England,24887,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-28,56,24821,East of England,24821,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-27,65,24765,East of England,24765,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-26,28,24700,East of England,24700,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-25,28,24672,East of England,24672,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-24,79,24644,East of England,24644,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-23,51,24565,East of England,24565,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-22,54,24514,East of England,24514,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-21,66,24460,East of England,24460,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-20,82,24394,East of England,24394,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-19,21,24312,East of England,24312,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-18,28,24291,East of England,24291,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-17,51,24263,East of England,24263,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-16,62,24212,East of England,24212,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-15,55,24150,East of England,24150,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-14,81,24095,East of England,24095,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-13,64,24014,East of England,24014,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-12,34,23950,East of England,23950,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-11,42,23916,East of England,23916,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-10,50,23874,East of England,23874,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-09,54,23824,East of England,23824,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-08,77,23770,East of England,23770,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-07,38,23693,East of England,23693,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-06,56,23655,East of England,23655,3,2,2,4,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-05,36,23599,East of England,23599,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-04,43,23563,East of England,23563,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-03,60,23520,East of England,23520,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-02,61,23460,East of England,23460,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-07-01,40,23399,East of England,23399,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-30,34,23359,East of England,23359,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-29,50,23325,East of England,23325,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-28,25,23275,East of England,23275,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-27,20,23250,East of England,23250,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-26,59,23230,East of England,23230,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-25,39,23171,East of England,23171,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-24,58,23132,East of England,23132,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-23,44,23074,East of England,23074,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-22,74,23030,East of England,23030,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-21,57,22956,East of England,22956,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-20,31,22899,East of England,22899,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-19,74,22868,East of England,22868,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-18,82,22794,East of England,22794,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-17,77,22712,East of England,22712,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-16,107,22635,East of England,22635,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-15,112,22528,East of England,22528,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-14,73,22416,East of England,22416,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-13,89,22343,East of England,22343,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-12,66,22254,East of England,22254,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-11,71,22188,East of England,22188,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-10,118,22117,East of England,22117,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-09,130,21999,East of England,21999,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-08,95,21869,East of England,21869,3,2,2,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-07,46,21774,East of England,21774,3,2,2,4,1,1,2,0,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-06,93,21728,East of England,21728,3,2,2,4,1,1,2,0,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-05,110,21635,East of England,21635,3,2,2,4,1,1,2,0,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-04,93,21525,East of England,21525,3,2,2,4,1,1,2,0,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-03,123,21432,East of England,21432,3,2,2,4,1,1,2,0,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-02,131,21309,East of England,21309,3,2,2,4,1,1,2,0,2,2,2,2,2,1,1,1,1,1,1,1
region,East of England,E12000006,2020-06-01,138,21178,East of England,21178,3,2,2,4,1,1,2,0,2,2,2,2,2,1,1,1,1,1,1,1
