fecha,cod_ine,ccaa,total,date,cum_confirmed_cases,adm1_name,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,transit_suspension,home_isolation,travel_ban_local,travel_ban_intl,t,dow,month,year,day,adm1_id,longest_series,l_cum_confirmed_cases,D_l_cum_confirmed_cases,sample_avg,day_avg,p_esp_1,p_esp_2,p_esp_3
"2020-03-03",1,"Andalucía",13,"2020-03-03",13,"Andalucía",0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,03mar2020,2,3,2020,3,"Andalucía",0,2.564949,,,,0,0,0
"2020-03-04",1,"Andalucía",13,"2020-03-04",13,"Andalucía",0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,04mar2020,3,3,2020,4,"Andalucía",0,2.564949,0,,,0,0,0
"2020-03-05",1,"Andalucía",12,"2020-03-05",12,"Andalucía",0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,05mar2020,4,3,2020,5,"Andalucía",0,2.484907,,,,0,0,0
"2020-03-06",1,"Andalucía",21,"2020-03-06",21,"Andalucía",0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,06mar2020,5,3,2020,6,"Andalucía",0,3.044523,.5596159,,,0,0,0
"2020-03-07",1,"Andalucía",27,"2020-03-07",27,"Andalucía",0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,07mar2020,6,3,2020,7,"Andalucía",0,3.295837,.2513144,,,0,0,0
"2020-03-08",1,"Andalucía",35,"2020-03-08",35,"Andalucía",0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,08mar2020,0,3,2020,8,"Andalucía",0,3.555348,.2595112,,,0,0,0
"2020-03-09",1,"Andalucía",54,"2020-03-09",54,"Andalucía",3,1,0,0,0,0,1,0,0,2,2,1,1,1,1,0,0,0,0,1,0,09mar2020,1,3,2020,9,"Andalucía",0,3.988984,.433636,,,1,0,0
"2020-03-10",1,"Andalucía",71,"2020-03-10",71,"Andalucía",3,1,2,1,0,0,1,3,0,2,2,1,1,1,1,1,1,0,0,1,1,10mar2020,2,3,2020,10,"Andalucía",0,4.26268,.2736959,,,1,1,0
"2020-03-11",1,"Andalucía",90,"2020-03-11",90,"Andalucía",3,1,2,1,0,0,1,3,0,2,2,1,1,1,1,1,1,0,0,1,1,11mar2020,3,3,2020,11,"Andalucía",0,4.49981,.2371297,,,1,1,0
"2020-03-12",1,"Andalucía",115,"2020-03-12",115,"Andalucía",3,1,2,1,0,0,1,3,0,2,2,1,1,1,1,1,1,0,0,1,1,12mar2020,4,3,2020,12,"Andalucía",0,4.744932,.2451224,,,1,1,0
"2020-03-13",1,"Andalucía",219,"2020-03-13",219,"Andalucía",3,1,2,1,0,0,1,3,0,2,2,1,1,1,1,1,1,0,0,1,1,13mar2020,5,3,2020,13,"Andalucía",0,5.389072,.6441398,,,1,1,0
"2020-03-14",1,"Andalucía",269,"2020-03-14",269,"Andalucía",3,2,2,1,1,2,1,3,0,2,2,1,1,1,1,1,1,1,1,1,1,14mar2020,6,3,2020,14,"Andalucía",0,5.594711,.2056394,,,1,1,1
"2020-03-15",1,"Andalucía",437,"2020-03-15",437,"Andalucía",3,2,2,1,1,2,1,3,0,2,2,1,1,1,1,1,1,1,1,1,1,15mar2020,0,3,2020,15,"Andalucía",0,6.079933,.4852219,,,1,1,1
