adm0_name,adm1_name,date,cum_confirmed_cases,cum_confirmed_cases_imputed,population,cum_hospitalized,event_cancel,event_cancel_popwt,home_isolation,home_isolation_popwt,no_gathering_popwt,no_gathering_inside,no_gathering_inside_popwt,social_distance,social_distance_popwt,social_distance_opt,business_closure,no_gathering,testing_regime,no_gathering_size,school_closure,school_closure_popwt,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,l_cum_hospitalized,D_l_cum_hospitalized,sample_avg,day_avg,testing_change_fra_15mar2020,p_fra_1,no_gathering_5000,no_gathering_1000,no_gathering_100,p_fra_2,p_fra_3
"FRA","AuvergneRhôneAlpes","2020-02-29",,17,8032377,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,0,0,29feb2020,6,2,2020,29,"AuvergneRhôneAlpes",0,,,,0,,,,0,0,1,0,0,0,0
"FRA","AuvergneRhôneAlpes","2020-03-01",,22,8032377,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,0,0,01mar2020,0,3,2020,1,"AuvergneRhôneAlpes",0,,,,0,0,,,0,0,1,0,0,0,0
"FRA","AuvergneRhôneAlpes","2020-03-02",37,37,8032377,10,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,1,.1031332,02mar2020,1,3,2020,2,"AuvergneRhôneAlpes",0,,,,2.302585,2.302585,,,0,0,1,0,0,0,.1031332
"FRA","AuvergneRhôneAlpes","2020-03-03",40,40,8032377,12,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,1,.1031332,03mar2020,2,3,2020,3,"AuvergneRhôneAlpes",0,3,1.098612,,2.484907,.1823215,,,0,0,1,0,0,0,.1031332
"FRA","AuvergneRhôneAlpes","2020-03-04",49,49,8032377,14,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,1,.1031332,04mar2020,3,3,2020,4,"AuvergneRhôneAlpes",0,9,2.197225,1.098612,2.639057,.1541507,.6189693,,0,0,1,0,0,0,.1031332
"FRA","AuvergneRhôneAlpes","2020-03-05",64,64,8032377,15,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,1,.1031332,05mar2020,4,3,2020,5,"AuvergneRhôneAlpes",0,15,2.70805,.5108256,2.70805,.0689929,.6189693,,0,0,1,0,0,0,.1031332
"FRA","AuvergneRhôneAlpes","2020-03-06",75,75,8032377,18,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,1,.1031332,06mar2020,5,3,2020,6,"AuvergneRhôneAlpes",0,11,2.397895,,2.890372,.1823215,,,0,0,1,0,0,0,.1031332
"FRA","AuvergneRhôneAlpes","2020-03-07",102,102,8032377,22,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,1,.1031332,07mar2020,6,3,2020,7,"AuvergneRhôneAlpes",0,27,3.295837,.8979416,3.091043,.2006707,.6189693,,0,0,1,0,0,0,.1031332
"FRA","AuvergneRhôneAlpes","2020-03-08",146,146,8032377,25,0,0,0,0,0,0,0,0,0,0,0,1,0,1000,1,.1031332,08mar2020,0,3,2020,8,"AuvergneRhôneAlpes",0,44,3.78419,.4883528,3.218876,.1278334,.6189693,,0,0,1,1,0,.2,.1031332
"FRA","AuvergneRhôneAlpes","2020-03-09",182,182,8032377,39,0,0,0,0,0,0,0,0,0,0,0,1,0,1000,1,.1031332,09mar2020,1,3,2020,9,"AuvergneRhôneAlpes",0,36,3.583519,,3.663562,.4446857,,,0,0,1,1,0,.2,.1031332
"FRA","AuvergneRhôneAlpes","2020-03-10",211,211,8032377,53,0,0,0,0,0,0,0,0,0,0,0,1,0,1000,1,.1031332,10mar2020,2,3,2020,10,"AuvergneRhôneAlpes",0,29,3.367296,,3.970292,.3067303,,,0,0,1,1,0,.2,.1031332
"FRA","AuvergneRhôneAlpes","2020-03-11",264,264,8032377,66,0,0,0,0,0,0,0,.5,.5,0,0,1,0,1000,1,.1031332,11mar2020,3,3,2020,11,"AuvergneRhôneAlpes",0,53,3.970292,.6029961,4.189655,.219363,.6189693,,0,0,1,1,0,.3,.1031332
