adm0_name,adm1_name,date,cum_confirmed_cases,cum_confirmed_cases_imputed,population,cum_hospitalized,event_cancel,event_cancel_popwt,home_isolation,home_isolation_popwt,no_gathering_popwt,no_gathering_inside,no_gathering_inside_popwt,social_distance,social_distance_popwt,social_distance_opt,business_closure,no_gathering,testing_regime,no_gathering_size,school_closure,school_closure_popwt,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,l_cum_hospitalized,D_l_cum_hospitalized,sample_avg,day_avg,testing_change_fra_15mar2020,p_fra_1,no_gathering_5000,no_gathering_1000,no_gathering_100,p_fra_2,p_fra_3,_reghdfe_resid,__hdfe1__,__hdfe2__
"FRA","AuvergneRhôneAlpes","2020-03-04",49,49,8032377,14,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,1,.1031332,04mar2020,3,3,2020,4,"AuvergneRhôneAlpes",0,9,2.197225,1.098612,2.639057,.1541507,.6189693,,0,0,1,0,0,0,1,.17137505,-.1710217,.1852439
"FRA","AuvergneRhôneAlpes","2020-03-05",64,64,8032377,15,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,1,.1031332,05mar2020,4,3,2020,5,"AuvergneRhôneAlpes",0,15,2.70805,.5108256,2.70805,.0689929,.6189693,,0,0,1,0,0,0,1,-.14688239,-.1710217,-.08428533
"FRA","AuvergneRhôneAlpes","2020-03-07",102,102,8032377,22,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,1,.1031332,07mar2020,6,3,2020,7,"AuvergneRhôneAlpes",0,27,3.295837,.8979416,3.091043,.2006707,.6189693,,0,0,1,0,0,0,1,.29361974,-.1710217,-.1376715
"FRA","AuvergneRhôneAlpes","2020-03-08",146,146,8032377,25,0,0,0,0,0,0,0,0,0,0,0,1,0,1000,1,.1031332,08mar2020,0,3,2020,8,"AuvergneRhôneAlpes",0,44,3.78419,.4883528,3.218876,.1278334,.6189693,,0,0,1,1,0,1,1,-.33020341,-.1710217,.19205237
"FRA","AuvergneRhôneAlpes","2020-03-11",264,264,8032377,66,0,0,0,0,0,0,0,.5,.5,0,0,1,0,1000,1,.1031332,11mar2020,3,3,2020,11,"AuvergneRhôneAlpes",0,53,3.970292,.6029961,4.189655,.219363,.6189693,,0,0,1,1,0,1,1,-.15100683,-.1710217,.1852439
"FRA","AuvergneRhôneAlpes","2020-03-12",329,329,8032377,93,0,0,0,0,0,0,0,.5,.5,0,0,1,0,1000,1,.1031332,12mar2020,4,3,2020,12,"AuvergneRhôneAlpes",0,65,4.174387,.2040956,4.532599,.3429446,.6189693,,0,0,1,1,0,1,1,-.28037811,-.1710217,-.08428533
"FRA","AuvergneRhôneAlpes","2020-03-13",416,416,8032377,130,0,0,0,0,0,0,0,.5,.5,0,0,1,0,100,1,.1031332,13mar2020,5,3,2020,13,"AuvergneRhôneAlpes",0,87,4.465908,.2915206,4.867535,.3349352,.6189693,,0,0,1,1,1,1,1,-.10234359,-.1710217,-.05940533
"FRA","AuvergneRhôneAlpes","2020-03-15",523,523,8032377,199,0,0,0,0,0,0,0,.5,.5,0,1,1,1,100,1,.1031332,15mar2020,0,3,2020,15,"AuvergneRhôneAlpes",0,69,4.234107,.5965204,5.293305,.1575065,.6189693,,1,1,1,1,1,1,1,.52928779,-.1710217,.19205237
"FRA","AuvergneRhôneAlpes","2020-03-16",618,618,8032377,245,0,0,0,0,0,0,0,.5,.5,0,1,1,1,100,1,1,16mar2020,1,3,2020,16,"AuvergneRhôneAlpes",0,95,4.553877,.3197703,5.501258,.2079535,.6189693,,0,1,1,1,1,1,1,-.12922305,-.1710217,-.13628425
"FRA","AuvergneRhôneAlpes","2020-03-18",858,858,8032377,364,1,1,.33,.33,0,1,1,1,1,0,1,1,1,2,1,1,18mar2020,3,3,2020,18,"AuvergneRhôneAlpes",0,148,4.997212,.4754238,5.897154,.1703062,.6189693,,0,1,1,1,1,1,1,-.03150868,-.1710217,.1852439
"FRA","AuvergneRhôneAlpes","2020-03-19",1014,1014,8032377,446,1,1,.33,.33,0,1,1,1,1,0,1,1,1,2,1,1,19mar2020,4,3,2020,19,"AuvergneRhôneAlpes",0,156,5.049856,.0526438,6.100319,.2031651,.6189693,,0,1,1,1,1,1,1,-.18475948,-.1710217,-.08428533
"FRA","AuvergneRhôneAlpes","2020-03-21",1266,1266,8032377,668,1,1,.33,.33,0,1,1,1,1,0,1,1,1,2,1,1,21mar2020,6,3,2020,21,"AuvergneRhôneAlpes",0,165,5.105946,.6400375,6.504288,.1710086,.6189693,,0,1,1,1,1,1,1,.45602045,-.1710217,-.1376715
"FRA","AuvergneRhôneAlpes","2020-03-22",1431,1431,8032377,788,1,1,.33,.33,0,1,1,1,1,0,1,1,1,2,1,1,22mar2020,0,3,2020,22,"AuvergneRhôneAlpes",0,165,5.105946,0,6.669498,.1652098,.6189693,,0,1,1,1,1,1,1,-.51374096,-.1710217,.19205237
"FRA","AuvergneRhôneAlpes","2020-03-23",1730,1730,8032377,1008,1,1,1,1,0,1,1,1,1,0,1,1,1,2,1,1,23mar2020,1,3,2020,23,"AuvergneRhôneAlpes",0,299,5.700444,.5944982,6.915723,.2462254,.6189693,,0,1,1,1,1,1,1,.35806256,-.1710217,-.13628425
