bundesland,refdatum,case_count,adm1_name,date,cum_confirmed_cases,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,home_isolation,travel_ban_local,travel_ban_intl,t,dow,month,year,day,adm1_id,longest_series,l_cum_confirmed_cases,D_l_cum_confirmed_cases,sample_avg,day_avg,p_ger_1,p_ger_2,p_ger_3,p_ger_4,p_ger_5,p_ger_6,p_ger_7
"Baden-Württemberg","2020/02/23 00:00:00",7,"Baden-Württemberg","2020-02-23",28,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,23feb2020,0,2,2020,23,"Baden-Württemberg",0,3.332205,,,,0,0,0,0,0,0,0
"Baden-Württemberg","2020/02/24 00:00:00",8,"Baden-Württemberg","2020-02-24",36,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,24feb2020,1,2,2020,24,"Baden-Württemberg",0,3.583519,.2513144,,,0,0,0,0,0,0,0
"Baden-Württemberg","2020/02/25 00:00:00",19,"Baden-Württemberg","2020-02-25",55,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,25feb2020,2,2,2020,25,"Baden-Württemberg",0,4.007333,.4238143,,,0,0,0,0,0,0,0
"Baden-Württemberg","2020/02/26 00:00:00",24,"Baden-Württemberg","2020-02-26",79,"2","0","0","0","0","0","0","0","0","0","2","1","2",1,0,0,0,0,0,0,26feb2020,3,2,2020,26,"Baden-Württemberg",0,4.369448,.3621144,,,1,0,0,0,0,0,0
"Baden-Württemberg","2020/02/27 00:00:00",14,"Baden-Württemberg","2020-02-27",93,"2","0","0","0","0","0","0","0","0","0","2","1","2",1,0,0,0,0,0,0,27feb2020,4,2,2020,27,"Baden-Württemberg",0,4.532599,.1631517,,,1,0,0,0,0,0,0
"Baden-Württemberg","2020/02/28 00:00:00",39,"Baden-Württemberg","2020-02-28",132,"2","0","0","0","0","0","0","1","0","0","2","1","2",1,0,0,0,0,0,1,28feb2020,5,2,2020,28,"Baden-Württemberg",0,4.882802,.3502026,,,1,0,0,0,0,0,1
"Baden-Württemberg","2020/02/29 00:00:00",39,"Baden-Württemberg","2020-02-29",171,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,29feb2020,6,2,2020,29,"Baden-Württemberg",0,5.141664,.2588615,,,1,0,1,0,0,0,1
"Baden-Württemberg","2020/03/01 00:00:00",41,"Baden-Württemberg","2020-03-01",212,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,01mar2020,0,3,2020,1,"Baden-Württemberg",0,5.356586,.2149229,,,1,0,1,0,0,0,1
"Baden-Württemberg","2020/03/02 00:00:00",57,"Baden-Württemberg","2020-03-02",269,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,02mar2020,1,3,2020,2,"Baden-Württemberg",0,5.594711,.2381248,,,1,0,1,0,0,0,1
"Baden-Württemberg","2020/03/03 00:00:00",78,"Baden-Württemberg","2020-03-03",347,"2","0","1","0","0","0","0","1","0","0","2","1","2",1,0,1,0,0,0,1,03mar2020,2,3,2020,3,"Baden-Württemberg",0,5.849325,.2546134,,,1,0,1,0,0,0,1
