date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_imputed,population,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,testing_change_irn_13mar2020,sample_avg,day_avg,travel_ban_local_opt_natl,school_closure_natl,p_irn_1,p_irn_2
"2020-02-27","IRN","Alborz",1,0,1,1,0,0,0,0,,5,2712400,27feb2020,4,2,2020,27,"Alborz",0,,,,0,.8196025,,0,0,0,0
"2020-02-28","IRN","Alborz",1,0,1,1,0,0,0,0,,8,2712400,28feb2020,5,2,2020,28,"Alborz",0,,,,0,.8196025,,0,0,0,0
"2020-02-29","IRN","Alborz",1,0,1,1,0,0,0,0,16,16,2712400,29feb2020,6,2,2020,29,"Alborz",0,,,,0,.8196025,,0,0,0,0
"2020-03-01","IRN","Alborz",1,1,1,1,0,0,0,0,47,47,2712400,01mar2020,0,3,2020,1,"Alborz",0,31,3.433987,,0,.8196025,,1,0,.3333333,0
"2020-03-02","IRN","Alborz",1,1,1,1,0,0,0,0,,89,2712400,02mar2020,1,3,2020,2,"Alborz",0,,,,0,.8196025,,1,0,.3333333,0
"2020-03-03","IRN","Alborz",1,1,1,1,1,0,0,0,,156,2712400,03mar2020,2,3,2020,3,"Alborz",0,,,,0,.8196025,,1,0,.6666667,0
"2020-03-04","IRN","Alborz",1,1,1,1,1,0,0,0,66,175,2712400,04mar2020,3,3,2020,4,"Alborz",0,,,,0,.8196025,,1,0,.6666667,0
"2020-03-05","IRN","Alborz",1,1,1,1,1,0,0,0,127,236,2712400,05mar2020,4,3,2020,5,"Alborz",0,61,4.110874,,0,.8196025,,1,0,.6666667,0
"2020-03-06","IRN","Alborz",1,1,1,1,1,0,0,0,256,365,2712400,06mar2020,5,3,2020,6,"Alborz",0,129,4.859812,.7489386,0,,,1,0,.6666667,0
"2020-03-07","IRN","Alborz",1,1,1,1,1,0,0,0,259,368,2712400,07mar2020,6,3,2020,7,"Alborz",0,3,1.098612,,0,.8196025,,1,0,.6666667,0
"2020-03-08","IRN","Alborz",1,1,1,1,1,0,0,0,261,370,2712400,08mar2020,0,3,2020,8,"Alborz",0,2,.6931472,,0,.8196025,,1,0,.6666667,0
