date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_imputed,population,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,testing_change_irn_13mar2020,sample_avg,day_avg,travel_ban_local_opt_natl,school_closure_natl,p_irn_1,p_irn_2,_reghdfe_resid,__hdfe1__,__hdfe2__
"2020-03-06","IRN","Alborz",1,1,1,1,1,0,0,0,256,365,2712400,06mar2020,5,3,2020,6,"Alborz",0,129,4.859812,.7489386,0,,,1,0,1,0,-.2338728,.2623319,-.14408344
"2020-03-11","IRN","Alborz",1,1,1,1,1,0,0,0,338,447,2712400,11mar2020,3,3,2020,11,"Alborz",0,45,3.806663,.3409266,0,,,1,0,1,0,-.67804059,.2623319,-.10792757
"2020-03-12","IRN","Alborz",1,1,1,1,1,0,0,0,412,521,2712400,12mar2020,4,3,2020,12,"Alborz",0,74,4.304065,.4974027,0,,,1,0,1,0,-.54977277,.2623319,-.07971937
"2020-03-14","IRN","Alborz",1,1,1,1,1,1,1,0,552,661,2712400,14mar2020,6,3,2020,14,"Alborz",0,134,4.89784,3.106081,0,,,1,0,1,1,2.3858911,.2623319,.01694164
"2020-03-17","IRN","Alborz",1,1,1,1,1,1,1,0,784,893,2712400,17mar2020,2,3,2020,17,"Alborz",0,116,4.75359,.8617699,0,,,1,0,1,1,.0568471,.2623319,.10167506
"2020-03-20","IRN","Alborz",1,1,1,1,1,1,1,0,1016,1125,2712400,20mar2020,5,3,2020,20,"Alborz",0,95,4.553877,.4430032,0,,,1,0,1,1,-.11616114,.2623319,-.14408344
"2020-03-22","IRN","Alborz",1,1,1,1,1,1,1,0,1131,1240,2712400,22mar2020,0,3,2020,22,"Alborz",0,60,4.094345,.0870113,0,,,1,0,1,1,-.86489092,.2623319,.24865449
"2020-03-08","IRN","Ardebil",1,1,1,1,1,0,0,0,47,47,1270420,08mar2020,0,3,2020,8,"Ardebil",0,9,2.197225,2.197225,0,,,1,0,1,0,.59110757,.49289966,.24865449
"2020-03-09","IRN","Ardebil",1,1,1,1,1,0,0,0,69,69,1270420,09mar2020,1,3,2020,9,"Ardebil",0,22,3.091043,.8938179,0,,,1,0,1,0,-.4281665,.49289966,-.03547815
"2020-03-12","IRN","Ardebil",1,1,1,1,1,0,0,0,103,103,1270420,12mar2020,4,3,2020,12,"Ardebil",0,14,2.639057,2.639057,0,,,1,0,1,0,1.3613142,.49289966,-.07971937
"2020-03-13","IRN","Ardebil",1,1,1,1,1,1,1,0,118,118,1270420,13mar2020,5,3,2020,13,"Ardebil",0,15,2.70805,.0689929,1,,,1,0,1,1,-.94109982,.49289966,-.14408344
"2020-03-14","IRN","Ardebil",1,1,1,1,1,1,1,0,151,151,1270420,14mar2020,6,3,2020,14,"Ardebil",0,33,3.496508,.7884574,0,,,1,0,1,1,-.16229975,.49289966,.01694164
"2020-03-19","IRN","Ardebil",1,1,1,1,1,1,1,0,226,226,1270420,19mar2020,4,3,2020,19,"Ardebil",0,16,2.772589,.4700036,0,,,1,0,1,1,-.38409253,.49289966,-.07971937
"2020-03-20","IRN","Ardebil",1,1,1,1,1,1,1,0,261,261,1270420,20mar2020,5,3,2020,20,"Ardebil",0,35,3.555348,.7827594,0,,,1,0,1,1,-.00697263,.49289966,-.14408344
"2020-03-22","IRN","Ardebil",1,1,1,1,1,1,1,0,286,286,1270420,22mar2020,0,3,2020,22,"Ardebil",0,19,2.944439,1.152679,0,,,1,0,1,1,-.02979055,.49289966,.24865449
"2020-03-10","IRN","Bushehr",1,1,1,1,1,0,0,0,18,18,1163400,10mar2020,2,3,2020,10,"Bushehr",0,7,1.94591,1.94591,0,,,1,1,1,0,.87066123,-.4050933,.10167506
