date,adm0_name,adm1_name,adm2_name,lat,lon,cum_confirmed_cases,cum_confirmed_cases_imputed,population,travel_ban_intl_out,travel_ban_local,business_closure,social_distance,school_closure,no_gathering,transit_suspension,work_from_home,testing_regime,pos_cases_quarantine,home_isolation,travel_ban_intl_in,travel_ban_local_popwt,business_closure_popwt,social_distance_popwt,school_closure_popwt,no_gathering_popwt,transit_suspension_popwt,work_from_home_popwt,pos_cases_quarantine_popwt,home_isolation_popwt,social_distance_opt,social_distance_opt_popwt,work_from_home_opt,work_from_home_opt_popwt,policies_enacted,t,dow,month,year,day,adm1_id,adm2_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,sample_avg,day_avg,social_distance_comb_popwt,work_from_home_comb_popwt,p_ita_1,p_ita_2,p_ita_3,p_ita_4,p_ita_5
"2020-02-26","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26feb2020,3,2,2020,26,"Sicilia","Agrigento",0,,,,,,0,0,0,0,0,0,0
"2020-02-27","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27feb2020,4,2,2020,27,"Sicilia","Agrigento",0,,,,,,0,0,0,0,0,0,0
"2020-02-28","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28feb2020,5,2,2020,28,"Sicilia","Agrigento",0,,,,,,0,0,0,0,0,0,0
"2020-02-29","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29feb2020,6,2,2020,29,"Sicilia","Agrigento",0,,,,,,0,0,0,0,0,0,0
"2020-03-01","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,01mar2020,0,3,2020,1,"Sicilia","Agrigento",0,,,,,,0,0,0,0,0,0,0
"2020-03-02","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,02mar2020,1,3,2020,2,"Sicilia","Agrigento",0,,,,,,0,0,0,0,0,0,0
"2020-03-03","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,03mar2020,2,3,2020,3,"Sicilia","Agrigento",0,,,,,,0,0,0,0,0,0,0
"2020-03-04","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,04mar2020,3,3,2020,4,"Sicilia","Agrigento",0,,,,,,0,0,0,0,0,0,0
"2020-03-05","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,05mar2020,4,3,2020,5,"Sicilia","Agrigento",0,,,,,,0,0,0,1,0,0,0
"2020-03-06","ITA","Sicilia","Agrigento",37.30971,13.58457,,0,434870,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,06mar2020,5,3,2020,6,"Sicilia","Agrigento",0,,,,,,0,0,0,1,0,0,0
"2020-03-07","ITA","Sicilia","Agrigento",37.30971,13.58457,,1,434870,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,07mar2020,6,3,2020,7,"Sicilia","Agrigento",0,,,,,,0,0,0,1,0,0,0
"2020-03-08","ITA","Sicilia","Agrigento",37.30971,13.58457,,1,434870,1,0,.33,1,1,1,0,0,1,1,0,0,0,.33,1,1,1,0,0,1,0,0,0,1,1,6.33,08mar2020,0,3,2020,8,"Sicilia","Agrigento",0,,,,,,1,.5,.5816666,1,0,1,0
"2020-03-09","ITA","Sicilia","Agrigento",37.30971,13.58457,,1,434870,1,0,.33,1,1,1,0,0,1,1,0,0,0,.33,1,1,1,0,0,1,0,0,0,1,1,6.33,09mar2020,1,3,2020,9,"Sicilia","Agrigento",0,,,,,,1,.5,.5816666,1,0,1,0
"2020-03-10","ITA","Sicilia","Agrigento",37.30971,13.58457,11,11,434870,1,.5,.33,1,1,1,0,1,1,1,.33,1,.5,.33,1,1,1,0,1,1,.33,0,0,0,0,9.16,10mar2020,2,3,2020,10,"Sicilia","Agrigento",0,,,,,,1,1,.665,1,.25,1,.33
"2020-03-11","ITA","Sicilia","Agrigento",37.30971,13.58457,16,16,434870,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,11mar2020,3,3,2020,11,"Sicilia","Agrigento",0,5,1.609438,,,,1,1,.835,1,.25,1,.67
"2020-03-12","ITA","Sicilia","Agrigento",37.30971,13.58457,17,17,434870,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,12mar2020,4,3,2020,12,"Sicilia","Agrigento",0,1,0,,,,1,1,.835,1,.25,1,.67
"2020-03-13","ITA","Sicilia","Agrigento",37.30971,13.58457,17,17,434870,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,13mar2020,5,3,2020,13,"Sicilia","Agrigento",0,0,,,,,1,1,.835,1,.25,1,.67
"2020-03-14","ITA","Sicilia","Agrigento",37.30971,13.58457,17,17,434870,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,14mar2020,6,3,2020,14,"Sicilia","Agrigento",0,0,,,,,1,1,.835,1,.25,1,.67
"2020-03-15","ITA","Sicilia","Agrigento",37.30971,13.58457,20,20,434870,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,15mar2020,0,3,2020,15,"Sicilia","Agrigento",0,3,1.098612,,,,1,1,.835,1,.25,1,.67
"2020-03-16","ITA","Sicilia","Agrigento",37.30971,13.58457,22,22,434870,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,16mar2020,1,3,2020,16,"Sicilia","Agrigento",0,2,.6931472,,,,1,1,.835,1,.25,1,.67
"2020-03-17","ITA","Sicilia","Agrigento",37.30971,13.58457,22,22,434870,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,17mar2020,2,3,2020,17,"Sicilia","Agrigento",0,0,,,,,1,1,.835,1,.25,1,.67
"2020-03-18","ITA","Sicilia","Agrigento",37.30971,13.58457,24,24,434870,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,18mar2020,3,3,2020,18,"Sicilia","Agrigento",0,2,.6931472,,,,1,1,.835,1,.25,1,.67
"2020-03-19","ITA","Sicilia","Agrigento",37.30971,13.58457,27,27,434870,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,19mar2020,4,3,2020,19,"Sicilia","Agrigento",0,3,1.098612,.4054651,,,1,1,.835,1,.25,1,.67
"2020-03-20","ITA","Sicilia","Agrigento",37.30971,13.58457,31,31,434870,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,20mar2020,5,3,2020,20,"Sicilia","Agrigento",0,4,1.386294,.2876821,,,1,1,.835,1,.25,1,.67
"2020-03-21","ITA","Sicilia","Agrigento",37.30971,13.58457,36,36,434870,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,21mar2020,6,3,2020,21,"Sicilia","Agrigento",0,5,1.609438,.2231436,,,1,1,.835,1,.25,1,.67
"2020-03-22","ITA","Sicilia","Agrigento",37.30971,13.58457,41,41,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,22mar2020,0,3,2020,22,"Sicilia","Agrigento",0,5,1.609438,0,,,1,1,1,1,.5,1,.67
"2020-03-23","ITA","Sicilia","Agrigento",37.30971,13.58457,45,45,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,23mar2020,1,3,2020,23,"Sicilia","Agrigento",0,4,1.386294,,,,1,1,1,1,.5,1,.67
