date,adm0_name,adm1_name,adm2_name,lat,lon,cum_confirmed_cases,cum_confirmed_cases_imputed,population,travel_ban_intl_out,travel_ban_local,business_closure,social_distance,school_closure,no_gathering,transit_suspension,work_from_home,testing_regime,pos_cases_quarantine,home_isolation,travel_ban_intl_in,travel_ban_local_popwt,business_closure_popwt,social_distance_popwt,school_closure_popwt,no_gathering_popwt,transit_suspension_popwt,work_from_home_popwt,pos_cases_quarantine_popwt,home_isolation_popwt,social_distance_opt,social_distance_opt_popwt,work_from_home_opt,work_from_home_opt_popwt,policies_enacted,t,dow,month,year,day,adm1_id,adm2_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,sample_avg,day_avg,social_distance_comb_popwt,work_from_home_comb_popwt,p_ita_1,p_ita_2,p_ita_3,p_ita_4,p_ita_5,_reghdfe_resid,__hdfe1__,__hdfe2__
"2020-03-19","ITA","Sicilia","Agrigento",37.30971,13.58457,27,27,434870,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,19mar2020,4,3,2020,19,"Sicilia","Agrigento",0,3,1.098612,.4054651,,,1,1,1,1,1,1,1,.09657917,-.38688797,-.01732495
"2020-03-20","ITA","Sicilia","Agrigento",37.30971,13.58457,31,31,434870,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,20mar2020,5,3,2020,20,"Sicilia","Agrigento",0,4,1.386294,.2876821,,,1,1,1,1,1,1,1,.00087661,-.38688797,-.03940546
"2020-03-21","ITA","Sicilia","Agrigento",37.30971,13.58457,36,36,434870,1,.5,.67,1,1,1,0,1,1,1,.67,1,.5,.67,1,1,1,0,1,1,.67,0,0,0,0,9.84,21mar2020,6,3,2020,21,"Sicilia","Agrigento",0,5,1.609438,.2231436,,,1,1,1,1,1,1,1,-.13689862,-.38688797,.03383129
"2020-03-22","ITA","Sicilia","Agrigento",37.30971,13.58457,41,41,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,22mar2020,0,3,2020,22,"Sicilia","Agrigento",0,5,1.609438,0,,,1,1,1,1,1,1,1,-.27907297,-.38688797,.02122235
"2020-03-25","ITA","Sicilia","Agrigento",37.30971,13.58457,50,50,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,25mar2020,3,3,2020,25,"Sicilia","Agrigento",0,3,1.098612,.4054651,,,1,1,1,1,1,1,1,.16165082,-.38688797,-.01403631
"2020-03-26","ITA","Sicilia","Agrigento",37.30971,13.58457,55,55,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,26mar2020,4,3,2020,26,"Sicilia","Agrigento",0,5,1.609438,.5108256,,,1,1,1,1,1,1,1,.27029996,-.38688797,-.01732495
"2020-04-02","ITA","Sicilia","Agrigento",37.30971,13.58457,98,98,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,02apr2020,4,4,2020,2,"Sicilia","Agrigento",0,2,.6931472,0,,,1,1,1,1,1,1,1,-.24052567,-.38688797,-.01732495
"2020-04-03","ITA","Sicilia","Agrigento",37.30971,13.58457,100,100,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,03apr2020,5,4,2020,3,"Sicilia","Agrigento",0,2,.6931472,0,,,1,1,1,1,1,1,1,-.21844516,-.38688797,-.03940546
"2020-04-04","ITA","Sicilia","Agrigento",37.30971,13.58457,102,102,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,04apr2020,6,4,2020,4,"Sicilia","Agrigento",0,2,.6931472,0,,,1,1,1,1,1,1,1,-.29168191,-.38688797,.03383129
"2020-04-05","ITA","Sicilia","Agrigento",37.30971,13.58457,107,107,434870,1,1,1,1,1,1,0,1,1,1,.67,1,1,1,1,1,1,0,1,1,.67,0,0,0,0,10.67,05apr2020,0,4,2020,5,"Sicilia","Agrigento",0,5,1.609438,.9162908,,,1,1,1,1,1,1,1,.63721779,-.38688797,.02122235
