datum,provincienaam,aantal,date,adm1_name,cum_confirmed_cases,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,home_isolation,travel_ban_local,travel_ban_intl,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,sample_avg,day_avg,p_nl_1,p_nl_2,p_nl_3,p_nl_4,p_nl_5
"2020-03-04","Drenthe",2,"2020-03-04","Drenthe",,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,04mar2020,3,3,2020,4,"Drenthe",0,,,,,,0,0,0,0,0
"2020-03-05","Drenthe",3,"2020-03-05","Drenthe",,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,05mar2020,4,3,2020,5,"Drenthe",0,,,,,,0,0,0,0,0
"2020-03-06","Drenthe",3,"2020-03-06","Drenthe",12,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,06mar2020,5,3,2020,6,"Drenthe",0,,,,,,0,0,1,0,0
"2020-03-07","Drenthe",3,"2020-03-07","Drenthe",15,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,07mar2020,6,3,2020,7,"Drenthe",0,3,1.098612,,,,0,0,1,0,0
"2020-03-08","Drenthe",8,"2020-03-08","Drenthe",23,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,08mar2020,0,3,2020,8,"Drenthe",0,8,2.079442,.9808292,,,0,0,1,0,0
"2020-03-09","Drenthe",10,"2020-03-09","Drenthe",33,0,0,0,0,0,1,0,0,0,0,2,1,2,0,0,0,0,1,0,0,09mar2020,1,3,2020,9,"Drenthe",0,10,2.302585,.2231436,,,0,0,1,0,0
"2020-03-10","Drenthe",12,"2020-03-10","Drenthe",45,0,0,2,0,0,1,0,0,0,0,2,1,2,0,0,1,0,1,0,0,10mar2020,2,3,2020,10,"Drenthe",0,12,2.484907,.1823215,,,0,1,1,0,0
"2020-03-11","Drenthe",12,"2020-03-11","Drenthe",57,0,0,2,0,0,1,0,0,0,0,2,1,2,0,0,1,0,1,0,0,11mar2020,3,3,2020,11,"Drenthe",0,12,2.484907,0,,,0,1,1,0,0
"2020-03-12","Drenthe",13,"2020-03-12","Drenthe",70,1,1,2,3,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0,12mar2020,4,3,2020,12,"Drenthe",0,13,2.564949,.0800426,,,1,1,1,0,0
"2020-03-13","Drenthe",13,"2020-03-13","Drenthe",83,1,1,2,3,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0,13mar2020,5,3,2020,13,"Drenthe",0,13,2.564949,0,,,1,1,1,0,0
"2020-03-14","Drenthe",15,"2020-03-14","Drenthe",98,1,1,2,3,0,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0,14mar2020,6,3,2020,14,"Drenthe",0,15,2.70805,.143101,,,1,1,1,0,0
"2020-03-15","Drenthe",15,"2020-03-15","Drenthe",113,1,3,2,3,0,1,1,0,0,0,2,1,1,1,1,1,1,1,1,0,15mar2020,0,3,2020,15,"Drenthe",0,15,2.70805,0,,,1,1,1,1,0
"2020-03-16","Drenthe",16,"2020-03-16","Drenthe",129,3,3,2,3,0,1,1,0,0,0,2,1,1,1,1,1,1,1,1,0,16mar2020,1,3,2020,16,"Drenthe",0,16,2.772589,.0645385,,,1,1,1,1,0
"2020-03-17","Drenthe",17,"2020-03-17","Drenthe",146,3,3,2,3,0,1,1,0,2,0,2,1,1,1,1,1,1,1,1,0,17mar2020,2,3,2020,17,"Drenthe",0,17,2.833213,.0606246,,,1,1,1,1,0
"2020-03-18","Drenthe",22,"2020-03-18","Drenthe",168,3,3,2,3,0,1,1,0,2,0,2,1,1,1,1,1,1,1,1,0,18mar2020,3,3,2020,18,"Drenthe",0,22,3.091043,.2578292,,,1,1,1,1,0
"2020-03-19","Drenthe",25,"2020-03-19","Drenthe",193,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1,19mar2020,4,3,2020,19,"Drenthe",0,25,3.218876,.1278334,,,1,1,1,1,1
"2020-03-20","Drenthe",32,"2020-03-20","Drenthe",225,3,3,2,3,0,1,1,3,2,0,2,1,1,1,1,1,1,1,1,1,20mar2020,5,3,2020,20,"Drenthe",0,32,3.465736,.24686,,,1,1,1,1,1
