areatype,areaname,areacode,date,newcasesbyspecimendate,cumcasesbyspecimendate,adm1_name,cum_confirmed_cases,c1_schoolclosing,c2_workplaceclosing,c3_cancelpublicevents,c4_restrictionsongatherings,c5_closepublictransport,c6_stayathomerequirements,c7_domestictravel,c8_internationaltravel,e1_incomesupport,e2_debtcontractrelief,h1_publicinfocampaign,h2_testingpolicy,h3_contacttracing,school_closure,work_from_home,no_public_gathering,no_private_gathering,transit_suspension,home_isolation,travel_ban_local,t,dow,month,year,day,adm1_id,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,sample_avg,day_avg,p_uk_1,p_uk_2,p_uk_3,p_uk_4,p_uk_5
"region","East Midlands","E12000004","2020-03-04",2,16,"East Midlands",16,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,04mar2020,3,3,2020,4,"East Midlands",0,,,,,,0,0,0,0,0
"region","East Midlands","E12000004","2020-03-05",3,19,"East Midlands",19,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,05mar2020,4,3,2020,5,"East Midlands",0,3,1.098612,,,,0,0,0,0,0
"region","East Midlands","E12000004","2020-03-06",7,26,"East Midlands",26,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,06mar2020,5,3,2020,6,"East Midlands",0,7,1.94591,.8472978,,,0,0,0,0,0
"region","East Midlands","E12000004","2020-03-07",4,30,"East Midlands",30,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,07mar2020,6,3,2020,7,"East Midlands",0,4,1.386294,,,,0,0,0,0,0
"region","East Midlands","E12000004","2020-03-08",1,31,"East Midlands",31,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,08mar2020,0,3,2020,8,"East Midlands",0,1,0,,,,0,0,0,0,0
"region","East Midlands","E12000004","2020-03-09",10,41,"East Midlands",41,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,09mar2020,1,3,2020,9,"East Midlands",0,10,2.302585,2.302585,,,0,0,0,0,0
"region","East Midlands","E12000004","2020-03-10",12,53,"East Midlands",53,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,10mar2020,2,3,2020,10,"East Midlands",0,12,2.484907,.1823215,,,0,0,0,0,0
"region","East Midlands","E12000004","2020-03-11",25,78,"East Midlands",78,"0","0","0","0","0","0","0","0","0","0","2","1","2",0,0,0,0,0,0,0,11mar2020,3,3,2020,11,"East Midlands",0,25,3.218876,.7339692,,,0,0,0,0,0
"region","East Midlands","E12000004","2020-03-12",18,96,"East Midlands",96,"0","0","0","0","0","0","0","0","0","0","2","1","0",0,0,0,0,0,0,0,12mar2020,4,3,2020,12,"East Midlands",0,18,2.890372,,,,0,0,0,0,0
"region","East Midlands","E12000004","2020-03-13",22,118,"East Midlands",118,"0","0","0","0","0","1","0","0","0","0","2","1","0",0,0,0,0,0,1,0,13mar2020,5,3,2020,13,"East Midlands",0,22,3.091043,.2006707,,,0,1,0,0,0
"region","East Midlands","E12000004","2020-03-14",19,137,"East Midlands",137,"0","0","0","0","0","1","0","0","0","0","2","1","0",0,0,0,0,0,1,0,14mar2020,6,3,2020,14,"East Midlands",0,19,2.944439,,,,0,1,0,0,0
"region","East Midlands","E12000004","2020-03-15",26,163,"East Midlands",163,"0","0","0","0","0","1","0","0","0","0","2","1","0",0,0,0,0,0,1,0,15mar2020,0,3,2020,15,"East Midlands",0,26,3.258096,.3136575,,,0,1,0,0,0
"region","East Midlands","E12000004","2020-03-16",34,197,"East Midlands",197,"0","1","1","0","0","1","0","0","0","0","2","1","0",0,1,1,0,0,1,0,16mar2020,1,3,2020,16,"East Midlands",0,34,3.526361,.2682641,,,0,1,0,0,0
