adm0,policy,beta,se
"USA","No gathering - original",-.109,.177
"USA","Social distance - original",-.455,.205
"USA","Quarantine positive cases - original",.018,.133
"USA","Paid sick leave - original",-.056,.416
"USA","Work from home - original",-.078,.093
"USA","School closure - original",.194,.122
"USA","Travel ban - original",.015,.208
"USA","Business closure - original",-.191,.078
"USA","Religious closure - original",.034,.085
"USA","Home isolation - original",.054,.074
"USA","Slow the Spread Guidelines - original",-.313,.152
"USA","combined policy - original",-.888,.46
"USA","No gathering",-.217,.247
"USA","Social distance",-.218,.093
"USA","Quarantine positive cases",.154,.124
"USA","Paid sick leave",.09,.193
"USA","Work from home",.064,.065
"USA","School closure",.166,.118
"USA","Travel ban",-.192,.088
"USA","Business closure",-.195,.082
"USA","Religious closure",.048,.062
"USA","Home isolation",-.135,.054
"USA","Slow the Spread Guidelines",-.193,.137
"USA","combined policy",-.627,.201
"USA","no_policy_rate",1.126,.2
