date,adm0_name,adm1_name,cum_confirmed_cases,cum_confirmed_cases_imputed,cum_deaths,cum_deaths_imputed,population,lat,lon,pos_cases_quarantine,travel_ban_intl_out,travel_ban_intl_in,travel_ban_local,social_distance,work_from_home,no_gathering,school_closure,religious_closure,paid_sick_leave,business_closure,federal_guidelines,home_isolation,transit_suspension,pos_cases_quarantine_popwt,travel_ban_local_popwt,social_distance_popwt,work_from_home_popwt,no_gathering_popwt,school_closure_popwt,religious_closure_popwt,paid_sick_leave_popwt,business_closure_popwt,federal_guidelines_popwt,home_isolation_popwt,transit_suspension_popwt,policies_enacted,testing_regime,t,dow,month,year,day,adm1_id,adm1_abb,longest_series,daily_confirmed_cases,l_cum_confirmed_cases,D_l_cum_confirmed_cases,testing_change_usa_13mar2020_NY,testing_change_usa_16mar2020_CA,testing_change_usa_18mar2020_NC,testing_change_usa_19mar2020_CT,testing_change_usa_19mar2020_NV,testing_change_usa_19mar2020_UT,testing_change_usa_20mar2020_IA,testing_change_usa_21mar2020_TN,testing_change_usa_22mar2020_AL,testing_change_usa_23mar2020_HI,testing_change_usa_24mar2020_KS,testing_change_usa_24mar2020_NJ,testing_change_usa_25mar2020_OH,testing_change_usa_27mar2020_AZ,testing_change_usa_28mar2020_MD,testing_change_usa_28mar2020_MO,testing_change_usa_30mar2020_DE,sample_avg,day_avg,p_usa_1,p_usa_2,p_usa_3,p_usa_4,p_usa_5,p_usa_6,p_usa_7,p_usa_8,p_usa_9,p_usa_10,p_usa_11,_reghdfe_resid,__hdfe1__,__hdfe2__
"2020-03-17","USA","Alabama",39,39,0,0,4908621,32.793,-86.828,.5,.8,1,0,.14,.33,.125,0,0,.33,0,1,0,0,.5,0,.14,.33,.125,0,0,.33,0,1,0,0,4.225,0,17mar2020,2,3,2020,17,"Alabama","AL",0,10,2.302585,.356675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,1,0,0,0,0,0,1,-.2933156,.02853686,.03524685
"2020-03-18","USA","Alabama",51,51,0,0,4908621,32.793,-86.828,.5,.8,1,0,.14,.33,.125,1,0,.33,0,1,0,0,.5,0,.14,.33,.125,1,0,.33,0,1,0,0,5.225,0,18mar2020,3,3,2020,18,"Alabama","AL",0,12,2.484907,.1823215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,0,0,0,0,1,-.63506774,.02853686,.00847
"2020-03-19","USA","Alabama",78,78,0,0,4908621,32.793,-86.828,.5,.8,1,0,.42,.33,.875,1,0,.33,.33,1,0,0,.5,0,.42,.33,.875,1,0,.33,.33,1,0,0,6.585,0,19mar2020,4,3,2020,19,"Alabama","AL",0,27,3.295837,.8109303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,0,1,0,0,1,.29480387,.02853686,-.02037144
"2020-03-20","USA","Alabama",106,106,0,0,4908621,32.793,-86.828,.5,.8,1,0,.49,.33,.875,1,0,.33,.33,1,0,0,.5,0,.49,.33,.875,1,0,.33,.33,1,0,0,6.655,0,20mar2020,5,3,2020,20,"Alabama","AL",0,28,3.332205,.0363677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,0,1,0,0,1,-.4707827,.02853686,.00252324
"2020-03-22","USA","Alabama",167,167,0,0,4908621,32.793,-86.828,.5,.8,1,0,.49,.33,.875,1,0,.33,.33,1,0,0,.5,0,.49,.33,.875,1,0,.33,.33,1,0,0,6.655,1,22mar2020,0,3,2020,22,"Alabama","AL",0,36,3.583519,.3646431,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,0,1,0,0,1,1.929e-11,.02853686,-.11814228
"2020-03-24","USA","Alabama",242,242,0,0,4908621,32.793,-86.828,.5,.8,1,0,.49,.33,.875,1,0,.33,.33,1,0,0,.5,0,.49,.33,.875,1,0,.33,.33,1,0,0,6.655,1,24mar2020,2,3,2020,24,"Alabama","AL",0,46,3.828641,.4613457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,0,1,0,0,1,-.07852829,.02853686,.03524685
"2020-03-25","USA","Alabama",386,386,1,1,4908621,32.793,-86.828,.5,.8,1,0,.49,.33,.875,1,0,.33,.33,1,0,0,.5,0,.49,.33,.875,1,0,.33,.33,1,0,0,6.655,1,25mar2020,3,3,2020,25,"Alabama","AL",0,144,4.969813,1.141172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,0,1,0,0,1,.62807482,.02853686,.00847
"2020-03-26","USA","Alabama",531,531,1,1,4908621,32.793,-86.828,.5,.8,1,0,.49,.33,.875,1,0,.33,.33,1,0,0,.5,0,.49,.33,.875,1,0,.33,.33,1,0,0,6.655,1,26mar2020,4,3,2020,26,"Alabama","AL",0,145,4.976734,.0069203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,0,1,0,0,1,-.47733534,.02853686,-.02037144
"2020-03-29","USA","Alabama",825,825,4,4,4908621,32.793,-86.828,1,.8,1,1,.63,.33,.875,1,0,.33,1,1,0,0,1,1,.63,.33,.875,1,0,.33,1,1,0,0,8.965,1,29mar2020,0,3,2020,29,"Alabama","AL",0,108,4.682131,.3254223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,1,1,0,0,1,.11459902,.02853686,-.11814228
"2020-03-30","USA","Alabama",941,941,6,6,4908621,32.793,-86.828,1,.8,1,1,.63,.33,.875,1,0,.33,1,1,0,0,1,1,.63,.33,.875,1,0,.33,1,1,0,0,8.965,1,30mar2020,1,3,2020,30,"Alabama","AL",0,116,4.75359,.0714588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,1,1,0,0,1,-.33679041,.02853686,.07928368
"2020-04-01","USA","Alabama",1106,1106,16,16,4908621,32.793,-86.828,1,.8,1,1,.63,.33,.875,1,0,.33,1,1,0,0,1,1,.63,.33,.875,1,0,.33,1,1,0,0,8.965,1,01apr2020,3,4,2020,1,"Alabama","AL",0,109,4.691348,.6659966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,1,1,0,0,1,.328561,.02853686,.00847
"2020-04-02","USA","Alabama",1270,1270,17,17,4908621,32.793,-86.828,1,.8,1,1,.63,.33,.875,1,0,.33,1,1,0,0,1,1,.63,.33,.875,1,0,.33,1,1,0,0,8.965,1,02apr2020,4,4,2020,2,"Alabama","AL",0,164,5.099866,.4085183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,1,1,0,0,1,.0999242,.02853686,-.02037144
"2020-04-03","USA","Alabama",1534,1534,21,21,4908621,32.793,-86.828,1,.8,1,1,.7,.33,.875,1,0,.33,1,1,0,0,1,1,.7,.33,.875,1,0,.33,1,1,0,0,9.035,1,03apr2020,5,4,2020,3,"Alabama","AL",0,264,5.575949,.4760828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,1,1,0,0,1,.1764647,.02853686,.00252324
"2020-04-05","USA","Alabama",1840,1840,31,31,4908621,32.793,-86.828,1,.8,1,1,.84,1,1,1,0,.33,1,1,1,0,1,1,.84,1,1,1,0,.33,1,1,1,0,10.97,1,05apr2020,0,4,2020,5,"Alabama","AL",0,208,5.337538,.7525706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,1,1,0,1,1,.64939248,.02853686,-.11814228
"2020-03-23","USA","Alaska",37,37,0,0,734002,64.228,-152.213,0,.8,1,0,.35,0,.875,1,0,.33,1,1,0,0,0,0,.35,0,.2384786,1,0,.33,.4313742,1,0,0,6.355,0,23mar2020,1,3,2020,23,"Alaska","AK",0,14,2.639057,1.540445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,0,1,0,1,0,0,1,.52123664,.33347324,.07928368
"2020-03-25","USA","Alaska",59,59,1,1,734002,64.228,-152.213,0,.8,1,0,.49,0,.875,1,0,.33,1,1,0,0,0,0,.49,0,.875,1,0,.33,1,1,0,0,6.495,0,25mar2020,3,3,2020,25,"Alaska","AK",0,17,2.833213,1.223775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,0,1,0,1,0,0,1,.51736705,.33347324,.00847
"2020-03-27","USA","Alaska",85,85,2,2,734002,64.228,-152.213,0,.8,1,0,.49,0,.875,1,0,.33,1,1,0,0,0,0,.49,0,.875,1,0,.33,1,1,0,0,6.495,0,27mar2020,5,3,2020,27,"Alaska","AK",0,16,2.772589,.4700036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,0,1,0,1,0,0,1,-.23045798,.33347324,.00252324
"2020-03-28","USA","Alaska",102,102,2,2,734002,64.228,-152.213,0,.8,1,1,.49,1,.875,1,0,.33,1,1,0,0,0,1,.49,1,.875,1,0,.33,1,1,0,0,8.495,0,28mar2020,6,3,2020,28,"Alaska","AK",0,17,2.833213,.0606246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,1,1,1,1,0,0,1,-.54994068,.33347324,-.01705571
"2020-03-31","USA","Alaska",133,133,3,3,734002,64.228,-152.213,0,.8,1,1,.49,1,.875,1,0,.33,1,1,0,0,0,1,.49,1,.875,1,0,.33,1,1,0,0,8.495,0,31mar2020,2,3,2020,31,"Alaska","AK",0,14,2.639057,1.029619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,1,1,1,1,0,0,1,.36675163,.33347324,.03524685
"2020-04-03","USA","Alaska",157,157,3,3,734002,64.228,-152.213,0,.8,1,1,.56,1,.875,1,0,.33,1,1,0,0,0,1,.56,1,.875,1,0,.33,1,1,0,0,8.565,0,03apr2020,5,4,2020,3,"Alaska","AK",0,10,2.302585,.6931472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,1,1,1,1,0,0,1,.09487366,.33347324,.00252324
"2020-04-04","USA","Alaska",171,171,5,5,734002,64.228,-152.213,0,.8,1,1,.56,1,.875,1,0,.33,1,1,0,0,0,1,.56,1,.875,1,0,.33,1,1,0,0,8.565,0,04apr2020,6,4,2020,4,"Alaska","AK",0,14,2.639057,.3364723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,1,1,1,1,0,0,1,-.24222231,.33347324,-.01705571
"2020-04-05","USA","Alaska",185,185,7,7,734002,64.228,-152.213,0,.8,1,1,.56,1,.875,1,0,.33,1,1,0,0,0,1,.56,1,.875,1,0,.33,1,1,0,0,8.565,0,05apr2020,0,4,2020,5,"Alaska","AK",0,14,2.639057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,0,1,1,1,1,1,0,0,1,-.477608,.33347324,-.11814228
"2020-03-18","USA","Arizona",27,27,0,0,7378494,34.294,-111.664,.5,.8,1,0,.14,0,.75,1,0,.33,0,1,0,0,.5,0,.14,0,.75,1,0,.33,0,1,0,0,5.52,0,18mar2020,3,3,2020,18,"Arizona","AZ",0,7,1.94591,1.252763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,0,1,0,0,0,0,1,.56785249,-.06142655,.00847
"2020-03-19","USA","Arizona",44,44,0,0,7378494,34.294,-111.664,.5,.8,1,0,.28,0,.75,1,0,.33,.33,1,0,0,.5,0,.28,0,.75,1,0,.33,.2554083,1,0,0,5.99,0,19mar2020,4,3,2020,19,"Arizona","AZ",0,17,2.833213,.8873032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,1,0,1,0,1,0,0,1,.34386661,-.06142655,-.02037144
